Unnamed: 0,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
165,apple crisp,454,9.7,87,55.5,4.9
166,spinach spaghetti cooked,182,0.9,36.6,0,6.4
167,corn pasta cooked,176,1,39.1,0,3.7
168,spaghetti with meat sauce,255,2.9,43.1,7.4,14.3
169,pasta with meatballs in tomato sauce,273,13,28.3,7.2,10.6
170,cheese tortellini,332,7.8,50.8,1,14.6
171,pasta with sliced franks in tomato sauce,227,6,32,8,11
172,lasagna,166,6.1,18.9,3.8,9
173,macaroni cheese,310,9.4,43.7,3,12.6
174,vegetable lasagna,316,13.7,32.2,5.8,15.6
175,spinach egg noodles cooked,211,2.5,38.8,1.1,8.1
176,cheese lasagna,316,13,33.6,10.3,15.9
177,pasta with tomato sauce,176,1.8,35.1,10.1,5.6
178,spinach pasta cooked,37,0.3,7.1,0,1.4
179,vegetable chicken soup,166,4.8,21.1,3.4,12.3
180,bean ham soup,198,2.5,33.5,7.8,10.3
181,cream of chicken soup,227,14.5,18,1.4,6
182,tomato soup canned,139,3.3,22.6,16.5,6.3
183,egg drop soup,65,1.5,10.3,0.2,2.8
184,scotch broth,197,6.4,23,0,12.1
185,cream of onion soup,268,12.8,31.7,11.1,6.7
186,chicken broth dry,10,0.2,1.1,0,0.7
187,vegetable soup with beef broth,162,3.8,26.3,4,6
188,chili with beans canned,287,14.1,30.5,3,14.6
189,beef noodle soup,168,6.2,17.9,5.2,9.6
190,consomme dry,17,0.2,1.9,1.1,2.2
191,chicken mushroom soup,126,6.1,15.1,1,2
192,beef vegetable soup,120,2.9,15.4,3.1,8
193,black bean soup,234,3.4,39.6,6.4,12.4
194,split pea soup with ham bacon,189,3.1,28.6,0,11.6
195,cream of mushroom soup,199,13.4,17.1,1,3.4
196,green pea soup,320,5.7,51.7,16.7,16.7
197,chicken broth soup,78,2.6,1.9,0.9,11.1
198,chicken mushroom chowder soup,431,23.7,38.3,0,16.2
199,chicken dumplings soup,235,13.4,14.7,1.4,13.6
200,chicken vegetable soup,148,5.6,17,3,7.1
201,turkey vegetable soup,72,3,8.6,2.6,3.1
202,wonton soup,71,0.6,11.7,0.8,4.6
203,beef stock,31,0.2,2.9,1.3,4.7
204,mushroom barley soup,186,5.5,29.3,0,4.6
205,gazpacho soup,70,0.4,6.6,2.2,10.7
206,beef mushroom soup,186,7.3,15.9,0,14
207,chicken rice soup,127,3.2,13,1.4,12.3
208,pepperpot soup,100,4.5,9.1,0,6.2
209,vegetable soup,149,4,24.6,7.9,4.3
210,chili beef soup,308,6.7,49.6,13.4,13.4
211,chicken soup,174,6.5,16.9,2.1,12.4
212,bean with frankfurters soup,188,7,22,0,10
213,pea soup,161,2.8,25.6,8.3,8.3
214,turkey soup,135,4.4,14.1,0,10.2
215,stockpot soup,201,7.8,23.1,0,9.8
216,hot sour soup,91,2.8,10.1,1,6
217,cheese soup,203,9.7,28,9.3,2
218,cream of potato soup,186,4.7,32.2,3.6,3.8
219,bean with bacon soup,106,2.1,16.4,0.6,5.5
220,fish stock,40,1.9,0,0,5.3
221,split pea soup with ham,381,8.9,56.2,0,20.7
222,beef broth soup,17,0.5,0.01,0,2.7
223,lentil soup with ham,139,2.8,20.2,0,9.3
224,tomato soup,98,0.7,22.5,12.2,2.2
225,fish broth,39,1.5,1,0.2,4.9
226,chili without beans canned,283,17,14.6,0,18.1
227,minestrone soup,167,5,22.6,3.7,8.6
228,clam chowder soup,154,4.4,24.5,6.8,4.4
229,tomato vegetable soup,54,0.8,9.9,2.4,1.9
230,cream of rice coup,127,0.2,28.1,0.022,2.2
231,cream of celery soup,181,11.2,17.7,3.4,3.3
232,chicken gravy,188,13.6,12.9,1.9,4.6
233,tomato rice soup,240,5.5,44.1,15.2,4.2
234,vegetable beef soup,128,2,9.6,0,18.1
235,tomato beef noodle soup,281,8.6,42.3,0,8.9
236,oyster stew soup,118,7.7,8.2,0,4.2
237,ramen noodle soup dry,371,13.3,53.9,1.3,8.9
238,chicken noodle soup,145,4.7,18.4,0,7.2
239,chicken bouillon dry,11,0.6,0.7,0.7,0.7
240,cream of asparagus soup,174,8.2,21.5,1.8,4.6
241,turkey noodle soup,139,4,17.3,1,7.8
242,cream of shrimp soup,181,10.4,16.5,0,5.6
243,bean with pork soup,335,11.5,44.1,7.8,15.3
244,chicken broth,12,0.5,1,0,1
245,beef broth powder,8,0.3,0.6,0.6,0.6
